source,target
主频,時脈
全方位覆盖,全方位覆蓋
全方面覆盖,全方面覆蓋
录制屏幕,錄製熒幕
录屏,螢幕錄影
调用记录,呼叫紀錄
提交审核,提交審核
审核,審核
海量,大量
不通过,不通過
应用于,應用於
应用无法运行,應用程式無法執行
服务端,伺服器端
算法,演算法
文件名,檔案名稱
流量套餐,上網方案
事件记录,事件紀錄
云服务器,雲端伺服器
搜索记录,搜尋記錄
域名,網域名稱
应用到,應用到
用户组,使用者群組
重连,重新連線
中国内地,中國大陸
面部,臉部
健康域,健康網域
卸载应用,卸載應用程式
通用设置,一般設定
115网盘,115網盤
夸克网盘,夸克網盤
撤销,取消
恢复连接,恢復連線
恢复,復原
购买记录,購買紀錄
退出实况,退出即時影像	
实况图,原況照片
恢复在线,恢復連線
获取,取得
验证通过,驗證通過
用户名称,使用者名稱
用户名,使用者名稱
录制声音,錄音
运行记录,執行紀錄
重启,重新啓動
标识符,識別碼
下划线,底線
上电,通電
设置为,設定爲
置为,設爲
设置于,設爲
置于,設爲
按照,依照
轮询期,輪詢週期
实付价,實付價格
出错啦,錯誤
扫码,掃描
彩墨,彩色電子墨水
应用商店,應用程式商店
录制,錄影
实况,原况
摄像机实况,攝影機即時影像
只读,唯讀
全部记录,全部紀錄
对话记录,對話紀錄
事件记录,事件紀錄
115网盘,115網盤
设备访问地址,裝置存取位址
图像文字识别搜索(OCR),光學字元辨識(OCR)
组成硬盘,成員硬碟
上线,在線
下线,離線
Cookie 声明,Cookie 聲明
客户端下载,用户端下载
扩展槽,擴充插槽
智能屏,智慧螢幕
电源适配器,電源供應器
硬盘锁钥匙,硬碟架鑰匙
扩展坞,擴充基座
小组件,小工具
配网,網路設定
分享装置,共用裝置
后台,背景
外挂,外部掛載
超时,逾时
体验计划,體驗計畫
改进计划,改進計畫
阅读记录,閱讀紀錄
摄像机,攝影機
移动端,行動端
尝试重试,重新嘗試
再重试,再試
重试,再試
枪机,固定式槍型攝影機
球机,PTZ球型攝影機
枪球联动,雙攝影機系統（固定式＋PTZ）
二维码, QR 碼
端口号,連接埠號碼
生成,產生
快照計劃,快照計畫
暂无记录,暫無紀錄
计算机,電腦
移動端,行動端
元資料,後設資料
更新记录,更新紀錄
互联网,網際網路
物体,物件
邮箱,電子信箱
邮箱地址,電子郵件地址
未命名,未命名
告警,警報
思维导图,心智圖
地址,位址
补丁,修補程式
更新包,更新套件
网络地址,網路位址
评论,留言
点赞,按讚
語义搜索,語意搜尋
优化,改善
教程,教學
第三方应用,第三方應用程式
联网,連線至網路
不联网,離線
网络预留地址,網路預留地址
手动识别,手動掃描
进入区域,進入偵測區域
离开区域,離開偵測區域
不匹配,不相符
账户,帳戶
IP地址,IP位址
IP 地址,IP 位址
隐私政策,隱私權政策
注销,刪除
反馈,回饋
共享文件夹,共用資料夾
算力卡,運算卡
镜像仓库,映像儲存庫
私有格式,專屬格式
铺满显示,滿版顯示
重新匹配,重新掃描
查杀,掃描
资源包,資源套件
备份包,備份檔
固件包,韌體套件
应用包,應用程式套件
安装包,安裝套件
实时,即時
模型训练包,模型訓練套件
大语言模型,大型語言模型
大事记,里程碑
文件夹,資料夾
全局,全域
端口,連接埠
绑定,綁定
工具包,工具套件
权限,權限
蓝牙,藍牙
用户端,用戶端
客户端,用戶端
应用数据库,應用程式資料庫
应用数据,應用程式資料
应用中心,應用程式中心
应用程序,應用程式
当前,目前
应用,應用程式
列表,清單
应用中心,應用程式中心
有声书,有聲書
网盘,雲端硬碟
联系我们,聯絡我們
控制面板,控制台
DLNA,DLNA
Docker,Docker
下载中心,下載中心
文件版本管理,檔案版本管理
文件管理,檔案管理
日志中心,日誌中心
音乐,音樂
在线文档,線上文件
相册,相簿
安全管家,安全管家
存储管理,儲存管理
帮助中心,技術支援中心
同步与备份,同步與備份
任务管理器,工作管理員
文本编辑,文字編輯
影视中心,影片中心
全局搜索,全域搜尋
虚拟机,虛擬機器
